Company,Jobs,Website,Careers URL,Claimed,Slug,ShowJob URL
"Monzo",48,,,No,monzo,https://proofwork-nine.vercel.app/companies/monzo
"Newto Training",15,,,No,newto-training,https://proofwork-nine.vercel.app/companies/newto-training
"Reed",13,,,No,reed,https://proofwork-nine.vercel.app/companies/reed
"Accenture",8,,,No,accenture,https://proofwork-nine.vercel.app/companies/accenture
"Ocho People",8,,,No,ocho-people,https://proofwork-nine.vercel.app/companies/ocho-people
"Adecco",7,,,No,adecco,https://proofwork-nine.vercel.app/companies/adecco
"Ocho",7,,,No,ocho,https://proofwork-nine.vercel.app/companies/ocho
"DoiT International",7,,,No,doit-international,https://proofwork-nine.vercel.app/companies/doit-international
"JPMorganChase",6,,,No,jpmorganchase,https://proofwork-nine.vercel.app/companies/jpmorganchase
"Client Server",6,,,No,client-server,https://proofwork-nine.vercel.app/companies/client-server
"Searchability  Ltd",6,,,No,searchability-ltd,https://proofwork-nine.vercel.app/companies/searchability-ltd
"Hays Technology",6,,,No,hays-technology,https://proofwork-nine.vercel.app/companies/hays-technology
"Michael Page Finance",5,,,No,michael-page-finance,https://proofwork-nine.vercel.app/companies/michael-page-finance
"Redline Group Ltd",5,,,No,redline-group-ltd,https://proofwork-nine.vercel.app/companies/redline-group-ltd
"Noir",5,,,No,noir,https://proofwork-nine.vercel.app/companies/noir
"EE",5,,,No,ee,https://proofwork-nine.vercel.app/companies/ee
"Google",4,,,No,google,https://proofwork-nine.vercel.app/companies/google
"Copello",4,,,No,copello,https://proofwork-nine.vercel.app/companies/copello
"Sanderson",4,,,No,sanderson,https://proofwork-nine.vercel.app/companies/sanderson
"Citi",4,,,No,citi,https://proofwork-nine.vercel.app/companies/citi
"Lloyds Bank",4,,,No,lloyds-bank,https://proofwork-nine.vercel.app/companies/lloyds-bank
"Morson Edge",4,,,No,morson-edge,https://proofwork-nine.vercel.app/companies/morson-edge
"Barclays UK",4,,,No,barclays-uk,https://proofwork-nine.vercel.app/companies/barclays-uk
"Harnham - Data & Analytics Recruitment",4,,,No,harnham-data-analytics-recruitment,https://proofwork-nine.vercel.app/companies/harnham-data-analytics-recruitment
"83zero Ltd",4,,,No,83zero-ltd,https://proofwork-nine.vercel.app/companies/83zero-ltd
"CBSbutler Holdings Limited trading as CBSbutler",4,,,No,cbsbutler-holdings-limited-trading-as-cbsbutler,https://proofwork-nine.vercel.app/companies/cbsbutler-holdings-limited-trading-as-cbsbutler
"Deliveroo",3,,,No,deliveroo,https://proofwork-nine.vercel.app/companies/deliveroo
"NatWest Group",3,,,No,natwest-group,https://proofwork-nine.vercel.app/companies/natwest-group
